layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
blocks.0,28,0.0,1.0,0.0576164610683918,0.3525388203561306
blocks.1,28,0.0,1.0,0.0576164610683918,0.3525388203561306
embed,28,0.0,1.0,0.0576164610683918,0.3525388203561306
ln_out,12,0.0,1.0,0.055175650864839554,0.3517252169549465
ln_out,39,0.0,1.0,0.0545261986553669,0.3515087328851223
blocks.0,60,0.0,1.0,0.05430958792567253,0.3514365293085575
blocks.1,60,0.0,1.0,0.05430958792567253,0.3514365293085575
embed,60,0.0,1.0,0.05430958792567253,0.3514365293085575
ln_out,61,0.0,1.0,0.05425577610731125,0.3514185920357704
ln_out,28,0.0,1.0,0.0539201945066452,0.3513067315022151
ln_out,29,0.0,1.0,0.05327512323856354,0.35109170774618786
ln_out,9,0.0,1.0,0.050915591418743134,0.350305197139581
blocks.0,25,0.0,1.0,0.04998593404889107,0.34999531134963036
blocks.1,25,0.0,1.0,0.04998593404889107,0.34999531134963036
embed,25,0.0,1.0,0.04998593404889107,0.34999531134963036
ln_out,31,0.0009765625,1.0,0.04882053658366203,0.34993236636122066
ln_out,41,0.0,1.0,0.04515434801578522,0.3483847826719284
ln_out,23,0.0,1.0,0.03926679491996765,0.34642226497332257
blocks.0,49,0.0005859375232830644,1.0,0.0379512682557106,0.3461790685929979
blocks.1,49,0.0005859375232830644,1.0,0.0379512682557106,0.3461790685929979
embed,49,0.0005859375232830644,1.0,0.0379512682557106,0.3461790685929979
ln_out,8,0.0,1.0,0.03832712769508362,0.3461090425650279
ln_out,11,0.0,1.0,0.038183026015758514,0.3460610086719195
blocks.0,45,0.0,1.0,0.0378294512629509,0.3459431504209836
blocks.1,45,0.0,1.0,0.0378294512629509,0.3459431504209836
embed,45,0.0,1.0,0.0378294512629509,0.3459431504209836
blocks.0,26,0.0,1.0,0.036265965551137924,0.345421988517046
blocks.1,26,0.0,1.0,0.036265965551137924,0.345421988517046
embed,26,0.0,1.0,0.036265965551137924,0.345421988517046
blocks.0,54,0.0,1.0,0.036057472229003906,0.3453524907430013
blocks.1,54,0.0,1.0,0.036057472229003906,0.3453524907430013
embed,54,0.0,1.0,0.036057472229003906,0.3453524907430013
blocks.0,12,0.0,1.0,0.03553537279367447,0.3451784575978915
blocks.1,12,0.0,1.0,0.03553537279367447,0.3451784575978915
embed,12,0.0,1.0,0.03553537279367447,0.3451784575978915
blocks.0,44,0.0,1.0,0.03418728709220886,0.34472909569740295
blocks.1,44,0.0,1.0,0.03418728709220886,0.34472909569740295
embed,44,0.0,1.0,0.03418728709220886,0.34472909569740295
ln_out,32,0.0,1.0,0.03405606001615524,0.3446853533387184
ln_out,35,0.0,1.0,0.03397928923368454,0.34465976307789487
blocks.0,5,0.0,1.0,0.030484819784760475,0.3434949399282535
blocks.1,5,0.0,1.0,0.030484819784760475,0.3434949399282535
embed,5,0.0,1.0,0.030484819784760475,0.3434949399282535
blocks.0,4,0.0,1.0,0.02502909116446972,0.3416763637214899
blocks.1,4,0.0,1.0,0.02502909116446972,0.3416763637214899
embed,4,0.0,1.0,0.02502909116446972,0.3416763637214899
blocks.0,1,0.0,1.0,0.02460501901805401,0.34153500633935135
blocks.1,1,0.0,1.0,0.02460501901805401,0.34153500633935135
embed,1,0.0,1.0,0.02460501901805401,0.34153500633935135
blocks.0,55,0.0,1.0,0.024569902569055557,0.34152330085635185
blocks.1,55,0.0,1.0,0.024569902569055557,0.34152330085635185
embed,55,0.0,1.0,0.024569902569055557,0.34152330085635185
blocks.0,2,0.0,1.0,0.021785346791148186,0.3405951155970494
blocks.1,2,0.0,1.0,0.021785346791148186,0.3405951155970494
embed,2,0.0,1.0,0.021785346791148186,0.3405951155970494
blocks.0,24,0.0,1.0,0.02110588178038597,0.3403686272601287
blocks.1,24,0.0,1.0,0.02110588178038597,0.3403686272601287
embed,24,0.0,1.0,0.02110588178038597,0.3403686272601287
ln_out,20,0.0,1.0,0.020225465297698975,0.340075155099233
blocks.0,11,0.0,1.0,0.01948399469256401,0.3398279982308547
blocks.1,11,0.0,1.0,0.01948399469256401,0.3398279982308547
embed,11,0.0,1.0,0.01948399469256401,0.3398279982308547
ln_out,48,0.0,1.0,0.01938168704509735,0.3397938956816991
ln_out,58,0.0,1.0,0.01883247308433056,0.3396108243614435
ln_out,46,0.0,1.0,0.016201989725232124,0.33873399657507736
blocks.0,41,0.0,1.0,0.0160235483199358,0.3386745161066453
blocks.1,41,0.0,1.0,0.0160235483199358,0.3386745161066453
embed,41,0.0,1.0,0.0160235483199358,0.3386745161066453
blocks.0,48,0.0,1.0,0.015832262113690376,0.3386107540378968
blocks.1,48,0.0,1.0,0.015832262113690376,0.3386107540378968
embed,48,0.0,1.0,0.015832262113690376,0.3386107540378968
ln_out,3,0.0,1.0,0.014908409677445889,0.3383028032258153
blocks.0,30,0.0,1.0,0.014512225985527039,0.33817074199517566
blocks.1,30,0.0,1.0,0.014512225985527039,0.33817074199517566
embed,30,0.0,1.0,0.014512225985527039,0.33817074199517566
ln_out,4,0.0,1.0,0.014363233000040054,0.33812107766668004
blocks.0,39,0.0,1.0,0.01261706929653883,0.33753902309884626
blocks.1,39,0.0,1.0,0.01261706929653883,0.33753902309884626
embed,39,0.0,1.0,0.01261706929653883,0.33753902309884626
blocks.0,57,0.0,1.0,0.011361044831573963,0.33712034827719134
blocks.1,57,0.0,1.0,0.011361044831573963,0.33712034827719134
embed,57,0.0,1.0,0.011361044831573963,0.33712034827719134
blocks.0,37,0.0,0.8175697922706604,0.19117729365825653,0.3362490286429723
blocks.1,37,0.0,0.8175697922706604,0.19117729365825653,0.3362490286429723
embed,37,0.0,0.8175697922706604,0.19117729365825653,0.3362490286429723
blocks.0,27,0.0,1.0,0.00788065791130066,0.3359602193037669
blocks.1,27,0.0,1.0,0.00788065791130066,0.3359602193037669
embed,27,0.0,1.0,0.00788065791130066,0.3359602193037669
head,16,0.0,1.0,0.007417399901896715,0.3358057999672989
blocks.0,56,0.0,1.0,0.006438187789171934,0.335479395929724
blocks.1,56,0.0,1.0,0.006438187789171934,0.335479395929724
embed,56,0.0,1.0,0.006438187789171934,0.335479395929724
ln_out,57,0.0,1.0,0.005169575102627277,0.3350565250342091
blocks.0,32,0.0,1.0,0.004098960198462009,0.3346996533994873
blocks.1,32,0.0,1.0,0.004098960198462009,0.3346996533994873
embed,32,0.0,1.0,0.004098960198462009,0.3346996533994873
ln_out,30,0.0,1.0,0.0034422161988914013,0.3344807387329638
ln_out,5,0.0,1.0,0.003261207602918148,0.33442040253430605
ln_out,27,0.0,1.0,0.002723356941714883,0.3342411189805716
blocks.0,16,0.0,1.0,0.0019961181096732616,0.33399870603655774
blocks.1,16,0.0,1.0,0.0019961181096732616,0.33399870603655774
embed,16,0.0,1.0,0.0019961181096732616,0.33399870603655774
blocks.0,20,0.0,1.0,0.0014496790245175362,0.3338165596748392
blocks.1,20,0.0,1.0,0.0014496790245175362,0.3338165596748392
embed,20,0.0,1.0,0.0014496790245175362,0.3338165596748392
blocks.0,9,0.0,1.0,0.0007663849391974509,0.3335887949797325
blocks.1,9,0.0,1.0,0.0007663849391974509,0.3335887949797325
embed,9,0.0,1.0,0.0007663849391974509,0.3335887949797325
ln_out,7,0.0,0.990301251411438,0.009848873130977154,0.3333833748474717
blocks.0,10,0.0,0.9667813777923584,0.02923370525240898,0.3320050276815891
blocks.1,10,0.0,0.9667813777923584,0.02923370525240898,0.3320050276815891
embed,10,0.0,0.9667813777923584,0.02923370525240898,0.3320050276815891
ln_out,45,0.0,0.939416229724884,0.027294393628835678,0.3222368744512399
ln_out,18,0.0,0.8943174481391907,0.059324901551008224,0.3178807832300663
ln_out,22,0.0,0.8647275567054749,0.03567136079072952,0.3001329724987348
blocks.0,14,0.0,0.8154177069664001,0.017872771248221397,0.27776349273820716
blocks.1,14,0.0,0.8154177069664001,0.017872771248221397,0.27776349273820716
embed,14,0.0,0.8154177069664001,0.017872771248221397,0.27776349273820716
ln_out,2,0.0,0.7936103940010071,0.02486383356153965,0.27282474252084893
