layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
blocks.0,24,0.0,1.0,0.025965167209506035,0.34198838906983536
blocks.1,24,0.0,1.0,0.025965167209506035,0.34198838906983536
embed,24,0.0,1.0,0.025965167209506035,0.34198838906983536
ln_out,48,0.0,1.0,0.025777587667107582,0.3419258625557025
blocks.0,48,0.0,1.0,0.022812386974692345,0.34093746232489747
blocks.1,48,0.0,1.0,0.022812386974692345,0.34093746232489747
embed,48,0.0,1.0,0.022812386974692345,0.34093746232489747
blocks.0,49,0.0007812500116415322,1.0,0.021209469065070152,0.34066357302557054
blocks.1,49,0.0007812500116415322,1.0,0.021209469065070152,0.34066357302557054
embed,49,0.0007812500116415322,1.0,0.021209469065070152,0.34066357302557054
blocks.0,16,0.0,1.0,0.021280355751514435,0.3404267852505048
blocks.1,16,0.0,1.0,0.021280355751514435,0.3404267852505048
embed,16,0.0,1.0,0.021280355751514435,0.3404267852505048
blocks.0,11,0.0,1.0,0.01957586780190468,0.3398586226006349
blocks.1,11,0.0,1.0,0.01957586780190468,0.3398586226006349
embed,11,0.0,1.0,0.01957586780190468,0.3398586226006349
blocks.0,2,0.0,1.0,0.01835191622376442,0.3394506387412548
blocks.1,2,0.0,1.0,0.01835191622376442,0.3394506387412548
embed,2,0.0,1.0,0.01835191622376442,0.3394506387412548
blocks.0,57,0.0,1.0,0.015107722021639347,0.3383692406738798
blocks.1,57,0.0,1.0,0.015107722021639347,0.3383692406738798
embed,57,0.0,1.0,0.015107722021639347,0.3383692406738798
ln_out,58,0.0,1.0,0.013988586142659187,0.3379961953808864
blocks.0,39,0.0,1.0,0.013613501563668251,0.3378711671878894
blocks.1,39,0.0,1.0,0.013613501563668251,0.3378711671878894
embed,39,0.0,1.0,0.013613501563668251,0.3378711671878894
ln_out,20,0.0,1.0,0.013200041837990284,0.3377333472793301
blocks.0,56,0.0,1.0,0.013173623941838741,0.33772454131394625
blocks.1,56,0.0,1.0,0.013173623941838741,0.33772454131394625
embed,56,0.0,1.0,0.013173623941838741,0.33772454131394625
ln_out,46,0.0,1.0,0.01268197875469923,0.3375606595848997
ln_out,30,0.0,1.0,0.011013491079211235,0.3370044970264037
blocks.0,30,0.0,1.0,0.007945750840008259,0.3359819169466694
blocks.1,30,0.0,1.0,0.007945750840008259,0.3359819169466694
embed,30,0.0,1.0,0.007945750840008259,0.3359819169466694
blocks.0,9,0.0,1.0,0.005907977931201458,0.3353026593104005
blocks.1,9,0.0,1.0,0.005907977931201458,0.3353026593104005
embed,9,0.0,1.0,0.005907977931201458,0.3353026593104005
blocks.0,41,0.0,1.0,0.00586528517305851,0.3352884283910195
blocks.1,41,0.0,1.0,0.00586528517305851,0.3352884283910195
embed,41,0.0,1.0,0.00586528517305851,0.3352884283910195
head,16,0.0,1.0,0.005457201506942511,0.33515240050231415
ln_out,4,0.0,1.0,0.005403656978160143,0.3351345523260534
blocks.0,20,0.0,1.0,0.0053904615342617035,0.3351301538447539
blocks.1,20,0.0,1.0,0.0053904615342617035,0.3351301538447539
