layer,channel,saturation_score,range_expansion_score,effective_dimensionality_score,aggregate_score
ln_out,39,0.0,1.0,0.05452170968055725,0.35150723656018573
ln_out,12,0.0,1.0,0.05439154803752899,0.351463849345843
blocks.0,60,0.0,1.0,0.054250430315732956,0.35141681010524434
blocks.1,60,0.0,1.0,0.054250430315732956,0.35141681010524434
embed,60,0.0,1.0,0.054250430315732956,0.35141681010524434
ln_out,28,0.0,1.0,0.053829606622457504,0.35127653554081917
blocks.0,25,0.0,1.0,0.05139949172735214,0.3504664972424507
blocks.1,25,0.0,1.0,0.05139949172735214,0.3504664972424507
embed,25,0.0,1.0,0.05139949172735214,0.3504664972424507
ln_out,9,0.0,1.0,0.05090370029211044,0.35030123343070346
ln_out,31,0.0009765625,1.0,0.04778119921684265,0.3495859205722809
ln_out,41,0.0,1.0,0.04437697306275368,0.3481256576875846
ln_out,23,0.0,1.0,0.03892973065376282,0.34630991021792096
ln_out,11,0.0,1.0,0.03866155818104744,0.3462205193936825
blocks.0,26,0.0,1.0,0.038161300122737885,0.3460537667075793
blocks.1,26,0.0,1.0,0.038161300122737885,0.3460537667075793
embed,26,0.0,1.0,0.038161300122737885,0.3460537667075793
ln_out,8,0.0,1.0,0.038013968616724014,0.3460046562055747
blocks.0,45,0.0,1.0,0.03669610619544983,0.3455653687318166
blocks.1,45,0.0,1.0,0.03669610619544983,0.3455653687318166
embed,45,0.0,1.0,0.03669610619544983,0.3455653687318166
blocks.0,54,0.0,1.0,0.035255786031484604,0.3450852620104949
blocks.1,54,0.0,1.0,0.035255786031484604,0.3450852620104949
embed,54,0.0,1.0,0.035255786031484604,0.3450852620104949
ln_out,32,0.0,1.0,0.03411831334233284,0.34470610444744426
blocks.0,44,0.0,1.0,0.03342925384640694,0.3444764179488023
blocks.1,44,0.0,1.0,0.03342925384640694,0.3444764179488023
embed,44,0.0,1.0,0.03342925384640694,0.3444764179488023
blocks.0,12,0.0,1.0,0.03190253674983978,0.3439675122499466
blocks.1,12,0.0,1.0,0.03190253674983978,0.3439675122499466
embed,12,0.0,1.0,0.03190253674983978,0.3439675122499466
ln_out,35,0.0,1.0,0.030853429809212685,0.34361780993640423
blocks.0,5,0.0,1.0,0.030040914192795753,0.34334697139759857
blocks.1,5,0.0,1.0,0.030040914192795753,0.34334697139759857
embed,5,0.0,1.0,0.030040914192795753,0.34334697139759857
blocks.0,49,0.0006510416860692203,1.0,0.02930304780602455,0.3433180298306979
blocks.1,49,0.0006510416860692203,1.0,0.02930304780602455,0.3433180298306979
embed,49,0.0006510416860692203,1.0,0.02930304780602455,0.3433180298306979
blocks.0,1,0.0,1.0,0.024902375414967537,0.34163412513832253
blocks.1,1,0.0,1.0,0.024902375414967537,0.34163412513832253
embed,1,0.0,1.0,0.024902375414967537,0.34163412513832253
blocks.0,4,0.0,1.0,0.024506477639079094,0.34150215921302635
blocks.1,4,0.0,1.0,0.024506477639079094,0.34150215921302635
embed,4,0.0,1.0,0.024506477639079094,0.34150215921302635
blocks.0,55,0.0,1.0,0.022279221564531326,0.3407597405215104
blocks.1,55,0.0,1.0,0.022279221564531326,0.3407597405215104
embed,55,0.0,1.0,0.022279221564531326,0.3407597405215104
blocks.0,2,0.0,1.0,0.02150127664208412,0.3405004255473614
blocks.1,2,0.0,1.0,0.02150127664208412,0.3405004255473614
embed,2,0.0,1.0,0.02150127664208412,0.3405004255473614
blocks.0,24,0.0,1.0,0.021125303581357002,0.34037510119378567
blocks.1,24,0.0,1.0,0.021125303581357002,0.34037510119378567
embed,24,0.0,1.0,0.021125303581357002,0.34037510119378567
